iter	Passed	Remaining
0	143	143171
1	144	72124
2	145	48365
3	146	36463
4	147	29328
5	148	24569
6	149	21174
7	150	18625
8	151	16646
9	152	15059
10	152	13753
11	154	12743
12	155	11816
13	156	11021
14	157	10335
15	158	9747
16	159	9217
17	160	8751
18	161	8332
19	162	7952
20	163	7606
21	164	7292
22	165	7017
23	166	6752
24	167	6517
25	168	6296
26	169	6096
27	170	5902
28	170	5724
29	172	5568
30	173	5419
31	174	5273
32	175	5139
33	176	5008
34	177	4885
35	178	4767
36	179	4662
37	180	4561
38	181	4464
39	182	4371
40	182	4280
41	183	4195
42	184	4112
43	185	4037
44	186	3963
45	187	3891
46	188	3821
47	189	3753
48	190	3689
49	191	3630
50	191	3571
51	193	3522
52	194	3469
53	195	3420
54	196	3374
55	197	3326
56	198	3281
57	199	3243
58	200	3203
59	201	3162
60	202	3120
61	203	3078
62	204	3039
63	205	3002
64	206	2969
65	207	2935
66	208	2901
67	209	2867
68	210	2835
69	210	2802
70	211	2772
71	212	2742
72	213	2715
73	214	2686
74	215	2659
75	216	2631
76	217	2605
77	218	2578
78	219	2553
79	220	2535
80	221	2512
81	222	2489
82	222	2461
83	223	2439
84	224	2418
85	225	2397
86	226	2376
87	227	2358
88	228	2339
89	229	2319
90	230	2300
91	231	2282
92	232	2264
93	233	2247
94	234	2229
95	235	2218
96	236	2201
97	237	2185
98	238	2170
99	239	2155
100	240	2141
101	241	2128
102	242	2114
103	243	2099
104	244	2085
105	245	2070
106	246	2061
107	248	2051
108	249	2042
109	250	2029
110	251	2017
111	252	2004
112	253	1992
113	254	1980
114	256	1970
115	257	1959
116	258	1947
117	258	1935
118	259	1924
119	260	1912
120	261	1901
121	262	1889
122	264	1882
123	265	1872
124	265	1861
125	267	1852
126	267	1841
127	268	1832
128	269	1822
129	271	1815
130	272	1806
131	273	1797
132	274	1788
133	275	1779
134	276	1770
135	277	1762
136	278	1755
137	279	1748
138	281	1741
139	282	1732
140	283	1725
141	283	1715
142	285	1709
143	286	1701
144	287	1693
145	288	1686
146	289	1679
147	290	1671
148	291	1664
149	292	1659
150	294	1653
151	295	1646
152	296	1640
153	297	1633
154	298	1625
155	299	1619
156	300	1613
157	302	1612
158	303	1607
159	305	1601
160	306	1598
161	309	1598
162	310	1593
163	311	1587
164	316	1600
165	318	1597
166	318	1590
167	319	1583
168	320	1577
169	321	1571
170	323	1565
171	323	1559
172	324	1551
173	325	1545
174	326	1538
175	327	1531
176	328	1526
177	329	1520
178	330	1514
179	331	1508
180	331	1501
181	332	1495
182	333	1489
183	334	1482
184	335	1477
185	336	1472
186	337	1466
187	338	1460
188	339	1454
189	339	1448
190	340	1442
191	341	1438
192	343	1434
193	343	1428
194	344	1423
195	345	1417
196	346	1412
197	347	1406
198	348	1400
199	348	1395
200	349	1390
201	351	1386
202	351	1381
203	352	1376
204	353	1370
205	354	1365
206	355	1361
207	356	1357
208	357	1353
209	358	1349
210	359	1344
211	360	1339
212	361	1334
213	362	1330
214	363	1326
215	364	1322
216	365	1320
217	366	1315
218	367	1310
219	368	1306
220	369	1302
221	370	1297
222	371	1293
223	372	1289
224	373	1285
225	374	1281
226	374	1276
227	375	1272
228	376	1267
229	377	1263
230	378	1259
231	379	1256
232	380	1252
233	381	1247
234	381	1243
235	382	1239
236	383	1235
237	384	1230
238	385	1226
239	386	1223
240	387	1219
241	388	1215
242	388	1211
243	389	1207
244	390	1204
245	391	1200
246	392	1196
247	393	1193
248	394	1190
249	395	1186
250	396	1182
251	397	1178
252	397	1174
253	398	1170
254	399	1166
255	400	1164
256	401	1160
